Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,target
3234,6876,9123,128,4123,576,0
1098,3567,5654,82,2543,345,0
4234,7567,9876,145,4456,623,0
1654,4876,7123,103,3234,445,0
2987,5765,7987,115,3567,498,0
1432,4234,6432,90,2876,387,0
3567,7012,9345,132,4234,587,0
1234,3876,5987,85,2654,365,0
4567,7876,10234,152,4678,645,0
1876,5012,7234,108,3345,456,0
3012,5987,8123,120,3765,523,0
1543,4432,6654,95,2987,408,0
3876,7234,9567,138,4345,598,0
1345,3987,6123,88,2765,376,0
4098,7654,9987,148,4567,634,0
1765,4876,7234,105,3234,445,0
2876,5654,7876,112,3456,487,0
1098,3765,5876,82,2543,354,0
3654,6987,9234,130,4123,567,0
1432,4321,6543,92,2876,398,0
4321,7765,10123,155,4654,645,0
1876,5123,7345,110,3456,467,0
2987,5876,8012,118,3654,512,0
1543,4543,6765,97,3012,412,0
3987,7345,9678,140,4432,602,0
1234,3876,6012,86,2654,368,0
4543,7987,10345,158,4765,656,0
1987,5234,7456,112,3543,478,0
3098,5987,8234,122,3765,534,0
1654,4654,6876,100,3098,423,0
4098,7543,9876,148,4543,623,0
1345,4012,6234,90,2765,387,0
3765,7123,9456,135,4321,589,0
1543,4432,6654,95,2987,408,0
4654,8098,10456,162,4876,667,0
2012,5345,7567,115,3654,489,0
3234,6123,8345,125,3876,545,0
1765,4765,6987,103,3123,434,0
4234,7654,9987,150,4567,634,0
1432,4123,6345,92,2876,398,0
3876,7234,9567,138,4345,598,0
1234,3876,6012,86,2654,368,0
4765,8234,10567,165,4987,678,0
2098,5456,7678,118,3765,498,0
3345,6234,8456,128,3987,556,0
1876,4876,7098,106,3234,445,0
4345,7765,10098,152,4654,645,0
1543,4234,6456,95,2987,408,0
3987,7345,9678,140,4432,602,0
1098,3654,5765,82,2543,354,0
4876,8345,10678,168,5012,689,0
2234,5567,7789,120,3876,512,0
3456,6345,8567,130,4098,567,0
1987,4987,7234,108,3345,456,0
4456,7876,10234,155,4765,656,0
1654,4345,6567,100,3098,423,0
4012,7456,9789,145,4543,612,0
1345,3987,6123,88,2765,376,0
4987,8456,10789,170,5098,698,0
2345,5678,7890,122,3987,523,0
3567,6456,8678,132,4234,578,0
2098,5098,7345,110,3456,467,0
4567,7987,10345,158,4876,667,0
1765,4456,6678,103,3123,434,0
4098,7567,9876,148,4567,623,0
1432,4098,6345,92,2876,398,0
5098,8567,10890,172,5123,709,0
2456,5789,7987,125,4098,534,0
3678,6567,8789,135,4345,589,0
2234,5234,7456,112,3543,478,0
4678,8098,10456,160,4987,678,0
1876,4567,6789,106,3234,445,0
4234,7678,9987,150,4654,634,0
1543,4234,6456,95,2987,408,0
5234,8678,10987,175,5234,720,0
2567,5890,8098,128,4234,545,0
3789,6678,8890,138,4456,598,0
2345,5345,7567,115,3654,489,0
4789,8234,10567,162,5012,689,0
1987,4678,6890,108,3345,456,0
4345,7789,10098,152,4765,645,0
1654,4345,6567,100,3098,423,0
5345,8789,11098,178,5345,731,0
2678,5987,8234,130,4345,556,0
3890,6789,8987,140,4567,609,0
2456,5456,7678,118,3765,498,0
4890,8345,10678,165,5098,698,0
2098,4789,6987,110,3456,467,0
4456,7890,10234,155,4876,656,0
1765,4456,6678,103,3123,434,0
5456,8890,11234,180,5456,742,0
2789,6098,8345,132,4456,567,0
3987,6890,9098,142,4678,620,0
2567,5567,7789,120,3876,512,0
4987,8456,10789,168,5123,709,0
2234,4890,7098,112,3543,478,0
4567,7987,10345,158,4987,667,0
1876,4567,6789,106,3234,445,0
5567,8987,11345,182,5567,753,0
2890,6234,8456,135,4567,578,0
4098,6987,9234,145,4789,631,0
2678,5678,7890,122,3987,523,0
5098,8567,10890,170,5234,720,0
2345,5012,7234,115,3654,489,0
4678,8098,10456,160,5012,678,0
1987,4678,6890,108,3345,456,0
5678,9098,11456,185,5678,764,0
2987,6345,8567,138,4678,589,0
4234,7098,9345,148,4890,642,0
2789,5789,7987,125,4098,534,0
5234,8678,10987,172,5345,731,0
2456,5123,7345,118,3765,498,0
4789,8234,10567,162,5098,689,0
2098,4789,6987,110,3456,467,0
5789,9234,11567,188,5789,775,0
3098,6456,8678,140,4789,598,0
4345,7234,9456,150,4987,653,0
2890,5890,8098,128,4234,545,0
5345,8789,11098,175,5456,742,0
2567,5234,7456,120,3876,512,0
4890,8345,10678,165,5234,698,0
2234,4890,7098,112,3543,478,0
5890,9345,11678,190,5890,786,0
3234,6567,8789,142,4890,609,0
4456,7345,9567,152,5098,664,0
2987,5987,8234,130,4345,556,0
5456,8890,11234,178,5567,753,0
2678,5345,7567,122,3987,523,0
4987,8456,10789,168,5345,709,0
2345,5012,7234,115,3654,489,0
5987,9456,11789,192,5987,797,0
3345,6678,8890,145,4987,620,0
4567,7456,9678,155,5234,675,0
3098,6098,8345,132,4456,567,0
5567,8987,11345,180,5678,764,0
2789,5456,7678,125,4098,534,0
5098,8567,10890,170,5456,720,0
2456,5123,7345,118,3765,498,0
6098,9567,11890,195,6098,808,0
3456,6789,8987,148,5098,631,0
4678,7567,9789,158,5345,686,0
3234,6234,8456,135,4567,578,0
5678,9098,11456,182,5789,775,0
2890,5567,7789,128,4234,545,0
5234,8678,10987,172,5567,731,0
2567,5234,7456,120,3876,512,0
6234,9678,11987,198,6234,819,0
3567,6890,9098,150,5234,642,0
4789,7678,9890,160,5456,697,0
3345,6345,8567,138,4678,589,0
5789,9234,11567,185,5890,786,0
2987,5678,7890,130,4345,556,0
5345,8789,11098,175,5678,742,0
2678,5345,7567,122,3987,523,0
44466,54259,55571,7782,24171,6465,1
27380,7184,12311,2809,4621,1022,1
36847,43950,38173,3047,12311,1131,1
112151,29627,18148,16745,4948,8550,1
